11.1518 	WARNING 	Movie2 stim could not be imported and won't be available
23.5961 	EXP 	self_box: fillColor = '#A6A9FF'
23.5961 	EXP 	other_box: fillColor = '#FFFCA6'
23.6129 	EXP 	self_box: fillColor = '#A6A9FF'
23.6129 	EXP 	other_box: fillColor = '#FFFCA6'
23.6296 	EXP 	self_box: fillColor = '#A6A9FF'
23.6296 	EXP 	other_box: fillColor = '#FFFCA6'
23.6464 	EXP 	self_box: fillColor = '#3E45FA'
23.6464 	EXP 	other_box: fillColor = '#FFFCA6'
23.6629 	EXP 	self_box: fillColor = '#3E45FA'
23.6629 	EXP 	other_box: fillColor = '#FFFCA6'
23.6796 	EXP 	self_box: fillColor = '#3E45FA'
23.6796 	EXP 	other_box: fillColor = '#FFFCA6'
23.6964 	EXP 	self_box: fillColor = '#3E45FA'
23.6964 	EXP 	other_box: fillColor = '#FFFCA6'
23.7131 	EXP 	self_box: fillColor = '#3E45FA'
23.7131 	EXP 	other_box: fillColor = '#FFFCA6'
23.7297 	EXP 	self_box: fillColor = '#3E45FA'
23.7297 	EXP 	other_box: fillColor = '#FFFCA6'
23.7463 	EXP 	self_box: fillColor = '#3E45FA'
23.7463 	EXP 	other_box: fillColor = '#FFFCA6'
23.7632 	EXP 	self_box: fillColor = '#3E45FA'
23.7632 	EXP 	other_box: fillColor = '#FFFCA6'
23.7799 	EXP 	self_box: fillColor = '#3E45FA'
23.7799 	EXP 	other_box: fillColor = '#FFFCA6'
23.7964 	EXP 	self_box: fillColor = '#3E45FA'
23.7964 	EXP 	other_box: fillColor = '#FFFCA6'
23.8132 	EXP 	self_box: fillColor = '#3E45FA'
23.8132 	EXP 	other_box: fillColor = '#FFFCA6'
23.8299 	EXP 	self_box: fillColor = '#3E45FA'
23.8299 	EXP 	other_box: fillColor = '#FFFCA6'
23.8466 	EXP 	self_box: fillColor = '#3E45FA'
23.8466 	EXP 	other_box: fillColor = '#FFFCA6'
23.8632 	EXP 	self_box: fillColor = '#3E45FA'
23.8632 	EXP 	other_box: fillColor = '#FFFCA6'
23.8800 	EXP 	self_box: fillColor = '#3E45FA'
23.8800 	EXP 	other_box: fillColor = '#FFFCA6'
23.8967 	EXP 	self_box: fillColor = '#3E45FA'
23.8967 	EXP 	other_box: fillColor = '#FFFCA6'
23.9134 	EXP 	self_box: fillColor = '#A6A9FF'
23.9134 	EXP 	other_box: fillColor = '#FFFCA6'
23.9301 	EXP 	self_box: fillColor = '#A6A9FF'
23.9301 	EXP 	other_box: fillColor = '#FFFCA6'
23.9468 	EXP 	self_box: fillColor = '#A6A9FF'
23.9468 	EXP 	other_box: fillColor = '#FFFCA6'
23.9635 	EXP 	self_box: fillColor = '#A6A9FF'
23.9635 	EXP 	other_box: fillColor = '#FAF33E'
23.9803 	EXP 	self_box: fillColor = '#A6A9FF'
23.9803 	EXP 	other_box: fillColor = '#FAF33E'
23.9968 	EXP 	self_box: fillColor = '#A6A9FF'
23.9968 	EXP 	other_box: fillColor = '#FAF33E'
24.0134 	EXP 	self_box: fillColor = '#A6A9FF'
24.0134 	EXP 	other_box: fillColor = '#FAF33E'
24.0302 	EXP 	self_box: fillColor = '#A6A9FF'
24.0302 	EXP 	other_box: fillColor = '#FAF33E'
24.0469 	EXP 	self_box: fillColor = '#A6A9FF'
24.0469 	EXP 	other_box: fillColor = '#FAF33E'
24.0637 	EXP 	self_box: fillColor = '#A6A9FF'
24.0637 	EXP 	other_box: fillColor = '#FAF33E'
24.0803 	EXP 	self_box: fillColor = '#A6A9FF'
24.0803 	EXP 	other_box: fillColor = '#FAF33E'
24.0971 	EXP 	self_box: fillColor = '#A6A9FF'
24.0971 	EXP 	other_box: fillColor = '#FAF33E'
24.1138 	EXP 	self_box: fillColor = '#A6A9FF'
24.1138 	EXP 	other_box: fillColor = '#FAF33E'
24.1305 	EXP 	self_box: fillColor = '#A6A9FF'
24.1305 	EXP 	other_box: fillColor = '#FAF33E'
24.1471 	EXP 	self_box: fillColor = '#A6A9FF'
